Country,ISO Code,Date,Total Vaccinations,1st Dose,2nd Dose,Daily Vaccinations,Vaccines,Source Name
Afghanistan,AFG,22-02-21,0,0,,,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,23-02-21,,,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,24-02-21,,,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,25-02-21,,,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,26-02-21,,,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,27-02-21,,,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,28-02-21,8200,8200,,1367,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,01-03-21,,,,1580,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,02-03-21,,,,1794,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,03-03-21,,,,2008,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,04-03-21,,,,2221,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,05-03-21,,,,2435,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,06-03-21,,,,2649,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,07-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,08-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,09-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,10-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,11-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,12-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,13-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,14-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,15-03-21,,,,2862,Oxford/AstraZeneca,Government of Afghanistan
Afghanistan,AFG,16-03-21,54000,54000,,2862,Oxford/AstraZeneca,Government of Afghanistan
Albania,ALB,10-01-21,0,0,,,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,11-01-21,,,,64,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,12-01-21,128,128,,64,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,13-01-21,188,188,,63,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,14-01-21,266,266,,66,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,15-01-21,308,308,,62,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,16-01-21,369,369,,62,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,17-01-21,405,405,,58,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,18-01-21,447,447,,55,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,19-01-21,483,483,,51,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,20-01-21,519,519,,47,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,21-01-21,549,549,,40,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,22-01-21,,,,34,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,23-01-21,,,,26,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,24-01-21,,,,21,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,25-01-21,,,,15,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,26-01-21,,,,9,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,27-01-21,,,,4,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,28-01-21,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,29-01-21,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,30-01-21,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,31-01-21,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,01-02-21,,,,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,02-02-21,550,549,1,0,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,03-02-21,,,,12,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,04-02-21,,,,24,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,05-02-21,,,,35,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,06-02-21,,,,47,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,07-02-21,,,,59,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,08-02-21,,,,71,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,09-02-21,1127,689,438,82,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,10-02-21,,,,81,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,11-02-21,,,,79,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,12-02-21,,,,78,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,13-02-21,,,,76,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,14-02-21,,,,75,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,15-02-21,,,,73,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,16-02-21,,,,72,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,17-02-21,1701,1090,611,72,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,18-02-21,3049,2438,611,254,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,19-02-21,4177,,,405,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,20-02-21,,,,516,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,21-02-21,,,,627,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,22-02-21,6728,6073,655,739,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,23-02-21,,,,891,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,24-02-21,,,,1043,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,25-02-21,10135,,,1012,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,26-02-21,,,,1000,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,27-02-21,,,,1027,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,28-02-21,,,,1054,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,01-03-21,14295,,,1081,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,02-03-21,,,,1026,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,03-03-21,15793,,,971,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,04-03-21,,,,927,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,05-03-21,,,,897,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,06-03-21,,,,867,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,07-03-21,,,,838,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,08-03-21,,,,808,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,09-03-21,,,,820,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,10-03-21,21613,,,831,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,11-03-21,,,,857,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,12-03-21,23635,,,883,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,13-03-21,,,,1042,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,14-03-21,,,,1201,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,15-03-21,,,,1361,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,16-03-21,,,,1520,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,17-03-21,33369,,,1679,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,18-03-21,,,,1960,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,19-03-21,,,,2240,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,20-03-21,,,,2386,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,21-03-21,,,,2533,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,22-03-21,48229,,,2679,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,23-03-21,51690,,,2895,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,24-03-21,53992,,,2946,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,25-03-21,59348,,,3287,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,26-03-21,62248,,,3276,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,27-03-21,64075,,,3113,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,28-03-21,78000,,,4678,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,29-03-21,,,,7204,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,30-03-21,119321,,,9662,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,31-03-21,138846,,,12122,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,01-04-21,155463,,,13731,"Pfizer/BioNTech, Sinovac",Ministry of Health
Albania,ALB,02-04-21,172486,,,15748,"Pfizer/BioNTech, Sinovac",Ministry of Health
Algeria,DZA,29-01-21,0,,,,Sputnik V,Ministry of Health
Algeria,DZA,30-01-21,30,,,30,Sputnik V,Ministry of Health
Algeria,DZA,31-01-21,,,,1889,Sputnik V,Ministry of Health
Algeria,DZA,01-02-21,,,,2509,Sputnik V,Ministry of Health
Algeria,DZA,02-02-21,,,,2819,Sputnik V,Ministry of Health
Algeria,DZA,03-02-21,,,,3005,Sputnik V,Ministry of Health
Algeria,DZA,04-02-21,,,,3129,Sputnik V,Ministry of Health
Algeria,DZA,05-02-21,,,,3217,Sputnik V,Ministry of Health
Algeria,DZA,06-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,07-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,08-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,09-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,10-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,11-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,12-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,13-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,14-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,15-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,16-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,17-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,18-02-21,,,,3748,Sputnik V,Ministry of Health
Algeria,DZA,19-02-21,75000,,,3748,Sputnik V,Ministry of Health
Andorra,AND,25-01-21,576,576,,,Pfizer/BioNTech,Government of Andorra
Andorra,AND,26-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,27-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,28-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,29-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,30-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,31-01-21,,,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,01-02-21,1036,1036,,66,Pfizer/BioNTech,Government of Andorra
Andorra,AND,02-02-21,,,,60,Pfizer/BioNTech,Government of Andorra
Andorra,AND,03-02-21,,,,55,Pfizer/BioNTech,Government of Andorra
Andorra,AND,04-02-21,,,,50,Pfizer/BioNTech,Government of Andorra
Andorra,AND,05-02-21,,,,44,Pfizer/BioNTech,Government of Andorra
Andorra,AND,06-02-21,,,,39,Pfizer/BioNTech,Government of Andorra
Andorra,AND,07-02-21,,,,34,Pfizer/BioNTech,Government of Andorra
Andorra,AND,08-02-21,,,,28,Pfizer/BioNTech,Government of Andorra
Andorra,AND,09-02-21,,,,28,Pfizer/BioNTech,Government of Andorra
Andorra,AND,10-02-21,1291,1291,,28,Pfizer/BioNTech,Government of Andorra
Andorra,AND,11-02-21,,,,48,Pfizer/BioNTech,Government of Andorra
Andorra,AND,12-02-21,1622,1622,,68,Pfizer/BioNTech,Government of Andorra
Andorra,AND,13-02-21,,,,74,Pfizer/BioNTech,Government of Andorra
Andorra,AND,14-02-21,,,,81,Pfizer/BioNTech,Government of Andorra
Andorra,AND,15-02-21,,,,87,Pfizer/BioNTech,Government of Andorra
Andorra,AND,16-02-21,,,,94,Pfizer/BioNTech,Government of Andorra
Andorra,AND,17-02-21,,,,100,Pfizer/BioNTech,Government of Andorra
Andorra,AND,18-02-21,,,,87,Pfizer/BioNTech,Government of Andorra
Andorra,AND,19-02-21,2141,2141,,74,Pfizer/BioNTech,Government of Andorra
Andorra,AND,20-02-21,,,,71,Pfizer/BioNTech,Government of Andorra
Andorra,AND,21-02-21,,,,67,Pfizer/BioNTech,Government of Andorra
Andorra,AND,22-02-21,,,,64,Pfizer/BioNTech,Government of Andorra
Andorra,AND,23-02-21,,,,60,Pfizer/BioNTech,Government of Andorra
Andorra,AND,24-02-21,2390,2390,,57,Pfizer/BioNTech,Government of Andorra
Andorra,AND,25-02-21,,,,56,Pfizer/BioNTech,Government of Andorra
Andorra,AND,26-02-21,2526,,,55,Pfizer/BioNTech,Government of Andorra
Andorra,AND,27-02-21,,,,63,Pfizer/BioNTech,Government of Andorra
Andorra,AND,28-02-21,,,,72,Pfizer/BioNTech,Government of Andorra
Andorra,AND,01-03-21,,,,80,Pfizer/BioNTech,Government of Andorra
Andorra,AND,02-03-21,,,,89,Pfizer/BioNTech,Government of Andorra
Andorra,AND,03-03-21,,,,97,Pfizer/BioNTech,Government of Andorra
Andorra,AND,04-03-21,,,,103,Pfizer/BioNTech,Government of Andorra
Andorra,AND,05-03-21,,,,108,Pfizer/BioNTech,Government of Andorra
Andorra,AND,06-03-21,,,,108,Pfizer/BioNTech,Government of Andorra
Andorra,AND,07-03-21,,,,108,Pfizer/BioNTech,Government of Andorra
Andorra,AND,08-03-21,3611,2439,1172,108,Pfizer/BioNTech,Government of Andorra
Andorra,AND,09-03-21,,,,186,Pfizer/BioNTech,Government of Andorra
Andorra,AND,10-03-21,4914,3650,1264,264,Pfizer/BioNTech,Government of Andorra
Andorra,AND,11-03-21,,,,347,Pfizer/BioNTech,Government of Andorra
Andorra,AND,12-03-21,,,,430,Pfizer/BioNTech,Government of Andorra
Andorra,AND,13-03-21,,,,513,Pfizer/BioNTech,Government of Andorra
Andorra,AND,14-03-21,,,,596,Pfizer/BioNTech,Government of Andorra
Andorra,AND,15-03-21,8363,7098,1265,679,Pfizer/BioNTech,Government of Andorra
Andorra,AND,16-03-21,,,,619,Pfizer/BioNTech,Government of Andorra
Andorra,AND,17-03-21,,,,559,Pfizer/BioNTech,Government of Andorra
Andorra,AND,18-03-21,,,,493,Pfizer/BioNTech,Government of Andorra
Andorra,AND,19-03-21,9288,,,428,Pfizer/BioNTech,Government of Andorra
Angola,AGO,01-03-21,0,0,,,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,02-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,03-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,04-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,05-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,06-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,07-03-21,,,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,08-03-21,6169,6169,,881,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,09-03-21,,,,1367,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,10-03-21,,,,1853,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,11-03-21,,,,2339,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,12-03-21,,,,2825,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,13-03-21,,,,3311,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,14-03-21,,,,3797,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,15-03-21,,,,4283,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,16-03-21,,,,4283,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,17-03-21,,,,4283,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,18-03-21,49000,49000,,4283,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,19-03-21,,,,4577,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,20-03-21,,,,4870,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,21-03-21,,,,5163,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,22-03-21,,,,5457,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,23-03-21,,,,5750,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,24-03-21,87022,87022,,6044,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,25-03-21,,,,6681,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,26-03-21,,,,7025,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,27-03-21,,,,7369,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,28-03-21,,,,7713,Oxford/AstraZeneca,Ministry of Health
Angola,AGO,29-03-21,130750,130750,,8057,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,04-02-21,0,0,,,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,05-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,06-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,07-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,08-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,09-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,10-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,11-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,12-02-21,,,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,13-02-21,1341,1341,,149,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,14-02-21,2762,2762,,331,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,15-02-21,,,,323,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,16-02-21,,,,316,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,17-02-21,,,,309,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,18-02-21,,,,301,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,19-02-21,,,,294,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,20-02-21,,,,286,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,21-02-21,,,,97,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,22-02-21,,,,97,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,23-02-21,,,,97,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,24-02-21,,,,97,Oxford/AstraZeneca,Ministry of Health
Anguilla,AIA,25-02-21,,,,97,Oxford/AstraZeneca,Ministry of Health
